1;arms_factory;957.00;10.20;1232.00;0.64;0
1;arms_factory;859.00;10.20;1192.00;4.76;0
1;arms_factory;932.00;10.20;1235.00;2.61;0
1;arms_factory;942.00;10.70;1224.00;2.71;0
1;arms_factory;851.00;10.23;1192.00;0.55;0
1;arms_factory;947.00;10.20;1235.00;3.21;0
1;industrial_complex;950.00;10.40;1223.00;4.77;0
1;industrial_complex;940.00;10.10;1237.00;1.16;0
1;industrial_complex;951.00;10.30;1226.00;5.28;0
1;industrial_complex;920.00;10.15;1232.00;0.20;0
1;industrial_complex;936.00;10.48;1227.00;3.22;0
1;industrial_complex;943.00;10.70;1226.00;5.88;0
1;air_base;919.00;10.20;1226.00;2.26;0
1;supply_node;853.00;10.20;1191.00;0.72;0
1;supply_node;903.00;10.00;1190.00;3.30;0
1;supply_node;954.00;9.95;1210.00;6.24;0
1;supply_node;928.00;10.20;1188.00;1.43;0
1;supply_node;890.00;10.00;1205.00;5.47;0
1;supply_node;933.00;10.45;1204.00;2.12;0
1;supply_node;957.00;10.05;1191.00;3.61;0
1;supply_node;878.00;9.90;1190.00;1.36;0
1;supply_node;869.00;10.00;1203.00;2.84;0
1;supply_node;913.00;10.23;1208.00;5.77;0
1;supply_node;931.00;10.65;1220.00;3.54;0
1;supply_node;915.00;10.00;1228.00;5.01;0
1;supply_node;950.00;10.30;1227.00;1.67;0
1;supply_node;935.00;10.30;1232.00;4.25;0
1;bunker;918.00;10.30;1204.00;5.95;0
1;bunker;957.00;9.90;1201.00;2.33;0
1;bunker;936.00;10.55;1213.00;3.89;0
1;bunker;958.00;10.00;1208.00;1.73;0
1;bunker;942.00;10.25;1236.00;4.40;0
1;bunker;925.00;10.40;1230.00;0.78;0
1;bunker;930.00;10.48;1228.00;2.34;0
1;bunker;857.00;10.20;1195.00;0.18;0
1;bunker;868.00;10.00;1190.00;2.84;0
1;bunker;899.00;9.95;1185.00;5.50;0
1;bunker;944.00;10.65;1226.00;2.24;0
1;bunker;935.00;10.00;1185.00;3.45;0
1;bunker;889.00;10.00;1210.00;1.29;0
1;bunker;861.00;10.00;1198.00;2.85;0
1;anti_air_building;867.00;10.00;1201.00;5.51;0
1;anti_air_building;874.00;9.98;1188.00;1.90;0
1;anti_air_building;948.00;10.20;1198.00;6.02;0
1;fuel_silo;948.00;10.00;1188.00;2.41;0
1;radar_station;884.00;9.95;1183.00;0.25;0
1;nuclear_reactor;950.00;10.10;1194.00;1.45;0
2;arms_factory;1289.00;22.18;1128.00;2.61;0
2;arms_factory;1315.00;20.98;1125.00;2.71;0
2;arms_factory;1269.00;22.65;1117.00;0.55;0
2;arms_factory;1330.00;21.90;1150.00;3.21;0
2;arms_factory;1303.00;21.93;1139.00;4.77;0
2;arms_factory;1317.00;21.25;1128.00;1.16;0
2;industrial_complex;1308.00;21.52;1133.00;5.28;0
2;industrial_complex;1266.00;22.55;1118.00;0.20;0
2;industrial_complex;1309.00;21.23;1114.00;3.22;0
2;industrial_complex;1318.00;21.02;1122.00;5.88;0
2;industrial_complex;1271.00;22.55;1118.00;2.26;0
2;industrial_complex;1320.00;21.90;1152.00;0.11;0
2;air_base;1287.00;22.40;1132.00;1.67;0
2;supply_node;1293.00;21.77;1112.00;6.24;0
2;supply_node;1314.00;21.40;1132.00;1.43;0
2;supply_node;1274.00;22.60;1112.00;5.47;0
2;supply_node;1303.00;21.23;1128.00;2.12;0
2;supply_node;1258.00;22.43;1116.00;3.61;0
2;supply_node;1324.00;21.90;1147.00;1.36;0
2;supply_node;1298.00;22.00;1138.00;2.84;0
2;supply_node;1288.00;22.08;1125.00;5.77;0
2;supply_node;1310.00;22.25;1148.00;3.54;0
